Hospital_name,Treatment_type,Doctor,Price,Discount
Coral Diamond Clinics,Cephalometric x-ray side of the head,,150 SAR ,Save 256 SAR
Almeswak - AlQuds Branch Clinics,Dental American Implants,,"2,800 SAR ","Save 2,800 SAR"
Eiat Clinics,Get a Hollywood smile for one jaw for 4590 SAR 8 teethInsta,,"4,950 SAR ","Save 10,050 SAR"
Coral Diamond Clinics,Direct venner 12 teeth,,"2,500 SAR ","Save 2,500 SAR"
Coral Diamond Clinics,American metal braces first payment with panorama x-ray,,600 SAR ,Save 900 SAR
Modern Beauty Clinics,Hollywood smile veneer lenses for (16 thooth),,"8,000 SAR ","Save 8,000 SAR"
Andalusia Dental Center,Implant with Porcelain Crown,,"3,849 SAR ","Save 3,279 SAR"
Andalusia Sanabel and Fawaz Clinics,RCT Anterior,,"1,400 SAR ","Save 1,400 SAR"
Jawharat Alrabwa Clinics,16 teeth Hollywood smile For jaws veneer and zircon,,"8,000 SAR ","Save 2,000 SAR"
Golden Care Medical Center,Device for temporomandibular joint treatment,,750 SAR ,Save 750 SAR
Coral Diamond Clinics,Kids protective silver dental coating,,350 SAR ,Save 350 SAR
